Operation,Result
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
1 + 1,2.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
3 * 3,9.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
4.0 + 5.0,9.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
